,Date,Value
0,20131025,5.71
1,20131028,5.72
2,20131029,5.72
3,20131030,5.72
4,20131031,5.72
5,20131101,5.72
6,20131104,5.72
7,20131105,5.72
8,20131106,5.72
9,20131107,5.72
10,20131108,5.72
11,20131111,5.72
12,20131112,5.72
13,20131113,5.72
14,20131114,5.72
15,20131115,5.72
16,20131118,5.72
17,20131119,5.73
18,20131120,5.73
19,20131121,5.73
20,20131122,5.73
21,20131125,5.73
22,20131126,5.73
23,20131127,5.73
24,20131128,5.73
25,20131129,5.73
26,20131202,5.73
27,20131203,5.73
28,20131204,5.73
29,20131205,5.73
30,20131206,5.73
31,20131209,5.73
32,20131210,5.73
33,20131211,5.73
34,20131212,5.73
35,20131213,5.73
36,20131216,5.73
37,20131217,5.73
38,20131218,5.73
39,20131219,5.73
40,20131220,5.73
41,20131223,5.73
42,20131224,5.73
43,20131225,5.73
44,20131226,5.73
45,20131227,5.73
46,20131230,5.73
47,20131231,5.73
48,20140102,5.73
49,20140103,5.73
50,20140106,5.73
51,20140107,5.73
52,20140108,5.73
53,20140109,5.73
54,20140110,5.73
55,20140113,5.73
56,20140114,5.73
57,20140115,5.73
58,20140116,5.73
59,20140117,5.73
60,20140120,5.73
61,20140121,5.73
62,20140122,5.73
63,20140123,5.73
64,20140124,5.73
65,20140126,5.73
66,20140127,5.73
67,20140128,5.73
68,20140129,5.73
69,20140130,5.73
70,20140207,5.73
71,20140208,5.73
72,20140210,5.73
73,20140211,5.73
74,20140212,5.73
75,20140213,5.74
76,20140214,5.76
77,20140217,5.76
78,20140218,5.76
79,20140219,5.76
80,20140220,5.76
81,20140221,5.76
82,20140224,5.76
83,20140225,5.76
84,20140226,5.76
85,20140227,5.76
86,20140228,5.76
87,20140303,5.76
88,20140304,5.76
89,20140305,5.76
90,20140306,5.76
91,20140307,5.76
92,20140310,5.76
93,20140311,5.76
94,20140312,5.76
95,20140313,5.76
96,20140314,5.76
97,20140317,5.76
98,20140318,5.76
99,20140319,5.76
100,20140320,5.76
101,20140321,5.76
102,20140324,5.76
103,20140325,5.76
104,20140326,5.76
105,20140327,5.76
106,20140328,5.76
107,20140331,5.76
108,20140401,5.77
109,20140402,5.77
110,20140403,5.77
111,20140404,5.77
112,20140408,5.77
113,20140409,5.77
114,20140410,5.77
115,20140411,5.77
116,20140414,5.77
117,20140415,5.77
118,20140416,5.77
119,20140417,5.77
120,20140418,5.77
121,20140421,5.77
122,20140422,5.77
123,20140423,5.77
124,20140424,5.77
125,20140425,5.77
126,20140428,5.77
127,20140429,5.77
128,20140430,5.77
129,20140504,5.77
130,20140505,5.77
131,20140506,5.77
132,20140507,5.77
133,20140508,5.77
134,20140509,5.77
135,20140512,5.77
136,20140513,5.77
137,20140514,5.77
138,20140515,5.77
139,20140516,5.77
140,20140519,5.77
141,20140520,5.77
142,20140521,5.77
143,20140522,5.77
144,20140523,5.77
145,20140526,5.77
146,20140527,5.77
147,20140528,5.77
148,20140529,5.77
149,20140530,5.77
150,20140603,5.77
151,20140604,5.77
152,20140605,5.77
153,20140606,5.77
154,20140609,5.77
155,20140610,5.77
156,20140611,5.77
157,20140612,5.77
158,20140613,5.77
159,20140616,5.77
160,20140617,5.76
161,20140618,5.76
162,20140619,5.76
163,20140620,5.76
164,20140623,5.76
165,20140624,5.76
166,20140625,5.76
167,20140626,5.76
168,20140627,5.76
169,20140630,5.76
170,20140701,5.76
171,20140702,5.76
172,20140703,5.76
173,20140704,5.76
174,20140707,5.76
175,20140708,5.76
176,20140709,5.76
177,20140710,5.76
178,20140711,5.76
179,20140714,5.76
180,20140715,5.76
181,20140716,5.76
182,20140717,5.76
183,20140718,5.76
184,20140721,5.76
185,20140722,5.76
186,20140723,5.76
187,20140724,5.76
188,20140725,5.76
189,20140728,5.76
190,20140729,5.76
191,20140730,5.76
192,20140731,5.76
193,20140801,5.76
194,20140804,5.76
195,20140805,5.76
196,20140806,5.76
197,20140807,5.76
198,20140808,5.76
199,20140811,5.76
200,20140812,5.76
201,20140813,5.76
202,20140814,5.76
203,20140815,5.76
204,20140818,5.76
205,20140819,5.76
206,20140820,5.76
207,20140821,5.76
208,20140822,5.76
209,20140825,5.76
210,20140826,5.76
211,20140827,5.76
212,20140828,5.76
213,20140829,5.76
214,20140901,5.76
215,20140902,5.76
216,20140903,5.76
217,20140904,5.76
218,20140905,5.76
219,20140909,5.76
220,20140910,5.76
221,20140911,5.76
222,20140912,5.76
223,20140915,5.76
224,20140916,5.76
225,20140917,5.76
226,20140918,5.76
227,20140919,5.76
228,20140922,5.76
229,20140923,5.76
230,20140924,5.76
231,20140925,5.76
232,20140926,5.76
233,20140928,5.76
234,20140929,5.76
235,20140930,5.76
236,20141008,5.76
237,20141009,5.76
238,20141010,5.76
239,20141011,5.76
240,20141013,5.76
241,20141014,5.76
242,20141015,5.76
243,20141016,5.76
244,20141017,5.76
245,20141020,5.76
246,20141021,5.76
247,20141022,5.76
248,20141023,5.76
249,20141024,5.76
250,20141027,5.76
251,20141028,5.76
252,20141029,5.76
253,20141030,5.76
254,20141031,5.76
255,20141103,5.76
256,20141104,5.76
257,20141105,5.76
258,20141106,5.76
259,20141107,5.76
260,20141110,5.76
261,20141111,5.76
262,20141112,5.76
263,20141113,5.76
264,20141114,5.76
265,20141117,5.76
266,20141118,5.76
267,20141119,5.76
268,20141120,5.76
269,20141121,5.76
270,20141124,5.56
271,20141125,5.56
272,20141126,5.56
273,20141127,5.52
274,20141128,5.51
275,20141201,5.51
276,20141202,5.51
277,20141203,5.51
278,20141204,5.51
279,20141205,5.51
280,20141208,5.51
281,20141209,5.51
282,20141210,5.51
283,20141211,5.51
284,20141212,5.51
285,20141215,5.51
286,20141216,5.51
287,20141217,5.51
288,20141218,5.51
289,20141219,5.51
290,20141222,5.51
291,20141223,5.51
292,20141224,5.51
293,20141225,5.51
294,20141226,5.51
295,20141229,5.51
296,20141230,5.51
297,20141231,5.51
298,20150104,5.51
299,20150105,5.51
300,20150106,5.51
301,20150107,5.51
302,20150108,5.51
303,20150109,5.51
304,20150112,5.51
305,20150113,5.51
306,20150114,5.51
307,20150115,5.51
308,20150116,5.51
309,20150119,5.51
310,20150120,5.51
311,20150121,5.51
312,20150122,5.51
313,20150123,5.51
314,20150126,5.51
315,20150127,5.51
316,20150128,5.51
317,20150129,5.51
318,20150130,5.51
319,20150202,5.51
320,20150203,5.51
321,20150204,5.51
322,20150205,5.51
323,20150206,5.51
324,20150209,5.51
325,20150210,5.51
326,20150211,5.51
327,20150212,5.51
328,20150213,5.51
329,20150215,5.51
330,20150216,5.51
331,20150217,5.51
332,20150225,5.51
333,20150226,5.51
334,20150227,5.51
335,20150228,5.51
336,20150302,5.3
337,20150303,5.3
338,20150304,5.3
339,20150305,5.3
340,20150306,5.3
341,20150309,5.3
342,20150310,5.3
343,20150311,5.3
344,20150312,5.3
345,20150313,5.3
346,20150316,5.3
347,20150317,5.3
348,20150318,5.3
349,20150319,5.3
350,20150320,5.3
351,20150323,5.3
352,20150324,5.3
353,20150325,5.3
354,20150326,5.3
355,20150327,5.3
356,20150330,5.3
357,20150331,5.3
358,20150401,5.3
359,20150402,5.3
360,20150403,5.3
361,20150407,5.3
362,20150408,5.3
363,20150409,5.3
364,20150410,5.3
365,20150413,5.3
366,20150414,5.3
367,20150415,5.3
368,20150416,5.3
369,20150417,5.3
370,20150420,5.3
371,20150421,5.3
372,20150422,5.3
373,20150423,5.3
374,20150424,5.3
375,20150427,5.3
376,20150428,5.3
377,20150429,5.3
378,20150430,5.3
379,20150504,5.3
380,20150505,5.3
381,20150506,5.3
382,20150507,5.3
383,20150508,5.3
384,20150511,5.05
385,20150512,5.05
386,20150513,5.05
387,20150514,5.05
388,20150515,5.05
389,20150518,5.05
390,20150519,5.05
391,20150520,5.05
392,20150521,5.05
393,20150522,5.05
394,20150525,5.05
395,20150526,5.05
396,20150527,5.05
397,20150528,5.05
398,20150529,5.05
399,20150601,5.05
400,20150602,5.05
401,20150603,5.05
402,20150604,5.05
403,20150605,5.05
404,20150608,5.05
405,20150609,5.05
406,20150610,5.05
407,20150611,5.05
408,20150612,5.05
409,20150615,5.05
410,20150616,5.05
411,20150617,5.05
412,20150618,5.05
413,20150619,5.05
414,20150623,5.05
415,20150624,5.05
416,20150625,5.05
417,20150626,5.05
418,20150629,4.8
419,20150630,4.8
420,20150701,4.8
421,20150702,4.8
422,20150703,4.8
423,20150706,4.8
424,20150707,4.8
425,20150708,4.8
426,20150709,4.8
427,20150710,4.8
428,20150713,4.8
429,20150714,4.8
430,20150715,4.8
431,20150716,4.8
432,20150717,4.8
433,20150720,4.8
434,20150721,4.8
435,20150722,4.8
436,20150723,4.8
437,20150724,4.8
438,20150727,4.8
439,20150728,4.8
440,20150729,4.8
441,20150730,4.8
442,20150731,4.8
443,20150803,4.8
444,20150804,4.8
445,20150805,4.8
446,20150806,4.8
447,20150807,4.8
448,20150810,4.8
449,20150811,4.8
450,20150812,4.8
451,20150813,4.8
452,20150814,4.8
453,20150817,4.8
454,20150818,4.8
455,20150819,4.8
456,20150820,4.8
457,20150821,4.8
458,20150824,4.8
459,20150825,4.8
460,20150826,4.55
461,20150827,4.55
462,20150828,4.55
463,20150831,4.55
464,20150901,4.55
465,20150902,4.55
466,20150906,4.55
467,20150907,4.55
468,20150908,4.55
469,20150909,4.55
470,20150910,4.55
471,20150911,4.55
472,20150914,4.55
473,20150915,4.55
474,20150916,4.55
475,20150917,4.55
476,20150918,4.55
477,20150921,4.55
478,20150922,4.55
479,20150923,4.55
480,20150924,4.55
481,20150925,4.55
482,20150928,4.55
483,20150929,4.55
484,20150930,4.55
485,20151008,4.55
486,20151009,4.55
487,20151010,4.55
488,20151012,4.55
489,20151013,4.55
490,20151014,4.55
491,20151015,4.55
492,20151016,4.55
493,20151019,4.55
494,20151020,4.55
495,20151021,4.55
496,20151022,4.55
497,20151023,4.55
498,20151026,4.3
499,20151027,4.3
500,20151028,4.3
501,20151029,4.3
502,20151030,4.3
503,20151102,4.3
504,20151103,4.3
505,20151104,4.3
506,20151105,4.3
507,20151106,4.3
508,20151109,4.3
509,20151110,4.3
510,20151111,4.3
511,20151112,4.3
512,20151113,4.3
513,20151116,4.3
514,20151117,4.3
515,20151118,4.3
516,20151119,4.3
517,20151120,4.3
518,20151123,4.3
519,20151124,4.3
520,20151125,4.3
521,20151126,4.3
522,20151127,4.3
523,20151130,4.3
524,20151201,4.3
525,20151202,4.3
526,20151203,4.3
527,20151204,4.3
528,20151207,4.3
529,20151208,4.3
530,20151209,4.3
531,20151210,4.3
532,20151211,4.3
533,20151214,4.3
534,20151215,4.3
535,20151216,4.3
536,20151217,4.3
537,20151218,4.3
538,20151221,4.3
539,20151222,4.3
540,20151223,4.3
541,20151224,4.3
542,20151225,4.3
543,20151228,4.3
544,20151229,4.3
545,20151230,4.3
546,20151231,4.3
547,20160104,4.3
548,20160105,4.3
549,20160106,4.3
550,20160107,4.3
551,20160108,4.3
552,20160111,4.3
553,20160112,4.3
554,20160113,4.3
555,20160114,4.3
556,20160115,4.3
557,20160118,4.3
558,20160119,4.3
559,20160120,4.3
560,20160121,4.3
561,20160122,4.3
562,20160125,4.3
563,20160126,4.3
564,20160127,4.3
565,20160128,4.3
566,20160129,4.3
567,20160201,4.3
568,20160202,4.3
569,20160203,4.3
570,20160204,4.3
571,20160205,4.3
572,20160206,4.3
573,20160214,4.3
574,20160215,4.3
575,20160216,4.3
576,20160217,4.3
577,20160218,4.3
578,20160219,4.3
579,20160222,4.3
580,20160223,4.3
581,20160224,4.3
582,20160225,4.3
583,20160226,4.3
584,20160229,4.3
585,20160301,4.3
586,20160302,4.3
587,20160303,4.3
588,20160304,4.3
589,20160307,4.3
590,20160308,4.3
591,20160309,4.3
592,20160310,4.3
593,20160311,4.3
594,20160314,4.3
595,20160315,4.3
596,20160316,4.3
597,20160317,4.3
598,20160318,4.3
599,20160321,4.3
600,20160322,4.3
601,20160323,4.3
602,20160324,4.3
603,20160325,4.3
604,20160328,4.3
605,20160329,4.3
606,20160330,4.3
607,20160331,4.3
608,20160401,4.3
609,20160405,4.3
610,20160406,4.3
611,20160407,4.3
612,20160408,4.3
613,20160411,4.3
614,20160412,4.3
615,20160413,4.3
616,20160414,4.3
617,20160415,4.3
618,20160418,4.3
619,20160419,4.3
620,20160420,4.3
621,20160421,4.3
622,20160422,4.3
623,20160425,4.3
624,20160426,4.3
625,20160427,4.3
626,20160428,4.3
627,20160429,4.3
628,20160503,4.3
629,20160504,4.3
630,20160505,4.3
631,20160506,4.3
632,20160509,4.3
633,20160510,4.3
634,20160511,4.3
635,20160512,4.3
636,20160513,4.3
637,20160516,4.3
638,20160517,4.3
639,20160518,4.3
640,20160519,4.3
641,20160520,4.3
642,20160523,4.3
643,20160524,4.3
644,20160525,4.3
645,20160526,4.3
646,20160527,4.3
647,20160530,4.3
648,20160531,4.3
649,20160601,4.3
650,20160602,4.3
651,20160603,4.3
652,20160606,4.3
653,20160607,4.3
654,20160608,4.3
655,20160612,4.3
656,20160613,4.3
657,20160614,4.3
658,20160615,4.3
659,20160616,4.3
660,20160617,4.3
661,20160620,4.3
662,20160621,4.3
663,20160622,4.3
664,20160623,4.3
665,20160624,4.3
666,20160627,4.3
667,20160628,4.3
668,20160629,4.3
669,20160630,4.3
670,20160701,4.3
671,20160704,4.3
672,20160705,4.3
673,20160706,4.3
674,20160707,4.3
675,20160708,4.3
676,20160711,4.3
677,20160712,4.3
678,20160713,4.3
679,20160714,4.3
680,20160715,4.3
681,20160718,4.3
682,20160719,4.3
683,20160720,4.3
684,20160721,4.3
685,20160722,4.3
686,20160725,4.3
687,20160726,4.3
688,20160727,4.3
689,20160728,4.3
690,20160729,4.3
691,20160801,4.3
692,20160802,4.3
693,20160803,4.3
694,20160804,4.3
695,20160805,4.3
696,20160808,4.3
697,20160809,4.3
698,20160810,4.3
699,20160811,4.3
700,20160812,4.3
701,20160815,4.3
702,20160816,4.3
703,20160817,4.3
704,20160818,4.3
705,20160819,4.3
706,20160822,4.3
707,20160823,4.3
708,20160824,4.3
709,20160825,4.3
710,20160826,4.3
711,20160829,4.3
712,20160830,4.3
713,20160831,4.3
714,20160901,4.3
715,20160902,4.3
716,20160905,4.3
717,20160906,4.3
718,20160907,4.3
719,20160908,4.3
720,20160909,4.3
721,20160912,4.3
722,20160913,4.3
723,20160914,4.3
724,20160918,4.3
725,20160919,4.3
726,20160920,4.3
727,20160921,4.3
728,20160922,4.3
729,20160923,4.3
730,20160926,4.3
731,20160927,4.3
732,20160928,4.3
733,20160929,4.3
734,20160930,4.3
735,20161008,4.3
736,20161009,4.3
737,20161010,4.3
738,20161011,4.3
739,20161012,4.3
740,20161013,4.3
741,20161014,4.3
742,20161017,4.3
743,20161018,4.3
744,20161019,4.3
745,20161020,4.3
746,20161021,4.3
747,20161024,4.3
748,20161025,4.3
749,20161026,4.3
750,20161027,4.3
751,20161028,4.3
752,20161031,4.3
753,20161101,4.3
754,20161102,4.3
755,20161103,4.3
756,20161104,4.3
757,20161107,4.3
758,20161108,4.3
759,20161109,4.3
760,20161110,4.3
761,20161111,4.3
762,20161114,4.3
763,20161115,4.3
764,20161116,4.3
765,20161117,4.3
766,20161118,4.3
767,20161121,4.3
768,20161122,4.3
769,20161123,4.3
770,20161124,4.3
771,20161125,4.3
772,20161128,4.3
