,Date,Value
0,19870131,5.1
1,19870228,5.4
2,19870331,5.8
3,19870430,6.7
4,19870531,7.6
5,19870630,7.8
6,19870731,7.8
7,19870831,8.2
8,19870930,7.7
9,19871031,7.5
10,19871130,8.3
11,19871231,8.9
12,19880131,9.4
13,19880229,10.4
14,19880331,11.3
15,19880430,12.2
16,19880531,14.2
17,19880630,16.3
18,19880731,19.2
19,19880831,23.6
20,19880930,26.4
21,19881031,27.1
22,19881130,26.8
23,19881231,27.9
24,19890131,27.4
25,19890228,28.4
26,19890331,27.1
27,19890430,26.6
28,19890531,24.8
29,19890630,22.8
30,19890731,19.4
31,19890831,15.3
32,19890930,11.5
33,19891031,8.6
34,19891130,7.4
35,19891231,6.6
36,19900131,4.3
37,19900228,4.4
38,19900331,3.4
39,19900430,3.2
40,19900531,2.7
41,19900630,1.1
42,19900731,1.1
43,19900831,2.5
44,19900930,2.9
45,19901031,3.1
46,19901130,3.7
47,19901231,4.3
48,19910131,2.2
49,19910228,1.0
50,19910331,1.6
51,19910430,1.3
52,19910531,3.6
53,19910630,4.4
54,19910731,4.7
55,19910831,4.9
56,19910930,4.5
57,19911031,4.8
58,19911130,4.4
59,19911231,4.5
60,19920131,5.5
61,19920229,5.3
62,19920331,5.3
63,19920430,7.1
64,19920531,4.7
65,19920630,4.8
66,19920731,5.2
67,19920831,5.8
68,19920930,7.5
69,19921031,7.9
70,19921130,8.2
71,19921231,8.8
72,19930131,10.3
73,19930228,10.5
74,19930331,12.2
75,19930430,12.6
76,19930531,14.0
77,19930630,15.1
78,19930731,16.2
79,19930831,16.0
80,19930930,15.7
81,19931031,15.9
82,19931130,16.7
83,19931231,18.8
84,19940131,21.1
85,19940228,23.2
86,19940331,22.4
87,19940430,21.7
88,19940531,21.3
89,19940630,22.6
90,19940731,24.0
91,19940831,25.8
92,19940930,27.3
93,19941031,27.7
94,19941130,27.5
95,19941231,25.5
96,19950131,24.1
97,19950228,22.4
98,19950331,21.3
99,19950430,20.7
100,19950531,20.3
101,19950630,18.2
102,19950731,16.7
103,19950831,14.5
104,19950930,13.2
105,19951031,12.1
106,19951130,11.2
107,19951231,10.1
108,19960131,9.0
109,19960229,9.3
110,19960331,9.8
111,19960430,9.7
112,19960531,8.9
113,19960630,8.6
114,19960731,8.3
115,19960831,8.1
116,19960930,7.4
117,19961031,7.0
118,19961130,6.9
119,19961231,7.0
120,19970131,5.9
121,19970228,5.6
122,19970331,4.0
123,19970430,3.2
124,19970531,2.8
125,19970630,2.8
126,19970731,2.7
127,19970831,1.9
128,19970930,1.8
129,19971031,1.5
130,19971130,1.1
131,19971231,0.4
132,19980131,0.3
133,19980228,-0.1
134,19980331,0.7
135,19980430,-0.3
136,19980531,-1.0
137,19980630,-1.3
138,19980731,-1.4
139,19980831,-1.4
140,19980930,-1.5
141,19981031,-1.1
142,19981130,-1.2
143,19981231,-1.0
144,19990131,-1.2
145,19990228,-1.3
146,19990331,-1.8
147,19990430,-2.2
148,19990531,-2.2
149,19990630,-2.1
150,19990731,-1.4
151,19990831,-1.3
152,19990930,-0.8
153,19991031,-0.6
154,19991130,-0.9
155,19991231,-1.0
156,20000131,-0.2
157,20000229,0.7
158,20000331,-0.2
159,20000430,-0.3
160,20000531,0.1
161,20000630,0.5
162,20000731,0.5
163,20000831,0.3
164,20000930,0.0
165,20001031,0.0
166,20001130,1.3
167,20001231,1.5
168,20010131,1.2
169,20010228,0.0
170,20010331,0.8
171,20010430,1.6
172,20010531,1.7
173,20010630,1.4
174,20010731,1.5
175,20010831,1.0
176,20010930,-0.1
177,20011031,0.2
178,20011130,-0.3
179,20011231,-0.3
180,20020131,-1.0
181,20020228,0.0
182,20020331,-0.8
183,20020430,-1.3
184,20020531,-1.1
185,20020630,-0.8
186,20020731,-0.9
187,20020831,-0.7
188,20020930,-0.7
189,20021031,-0.8
190,20021130,-0.7
191,20021231,-0.4
192,20030131,0.4
193,20030228,0.2
194,20030331,0.9
195,20030430,1.0
196,20030531,0.7
197,20030630,0.3
198,20030731,0.5
199,20030831,0.9
200,20030930,1.1
201,20031031,1.8
202,20031130,3.0
203,20031231,3.2
204,20040131,3.2
205,20040229,2.1
206,20040331,3.0
207,20040430,3.8
208,20040531,4.4
209,20040630,5.0
210,20040731,5.3
211,20040831,5.3
212,20040930,5.2
213,20041031,4.3
214,20041130,2.8
215,20041231,2.4
216,20050131,1.9
217,20050228,3.9
218,20050331,2.7
219,20050430,1.8
220,20050531,1.8
