,Code,Name,Date,Open,High,Low,Close,PriceChange,Value,Volume
0,8841730.WI,市场情绪指数,20140102,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0
1,8841730.WI,市场情绪指数,20140103,1003.8,1003.8,1003.8,1003.8,0.0038,12393.32,940757000.0
2,8841730.WI,市场情绪指数,20140106,974.21,974.21,974.21,974.21,-0.0295,14476.48,1154646800.0
3,8841730.WI,市场情绪指数,20140107,981.72,981.72,981.72,981.72,0.0077,10522.38,875086000.0
4,8841730.WI,市场情绪指数,20140108,996.24,996.24,996.24,996.24,0.0148,12350.95,842735000.0
5,8841730.WI,市场情绪指数,20140109,971.1,971.1,971.1,971.1,-0.0252,14749.64,899663700.0
6,8841730.WI,市场情绪指数,20140110,958.62,958.62,958.62,958.62,-0.0129,11167.49,674436300.0
7,8841730.WI,市场情绪指数,20140113,977.19,977.19,977.19,977.19,0.0194,7526.02,468584100.0
8,8841730.WI,市场情绪指数,20140114,1004.73,1004.73,1004.73,1004.73,0.0282,8266.31,577404900.0
9,8841730.WI,市场情绪指数,20140115,1028.23,1028.23,1028.23,1028.23,0.0234,12252.6,854747000.0
10,8841730.WI,市场情绪指数,20140116,1043.23,1043.23,1043.23,1043.23,0.0146,12946.52,951651300.0
11,8841730.WI,市场情绪指数,20140117,1040.41,1040.41,1040.41,1040.41,-0.0027,9800.52,771537700.0
12,8841730.WI,市场情绪指数,20140120,1031.04,1031.04,1031.04,1031.04,-0.009,9582.44,755080600.0
13,8841730.WI,市场情绪指数,20140121,1065.45,1065.45,1065.45,1065.45,0.0334,13194.25,921939800.0
14,8841730.WI,市场情绪指数,20140122,1091.19,1091.19,1091.19,1091.19,0.0242,16995.05,1070772100.0
15,8841730.WI,市场情绪指数,20140123,1118.83,1118.83,1118.83,1118.83,0.0253,18359.71,1258386600.0
16,8841730.WI,市场情绪指数,20140124,1140.95,1140.95,1140.95,1140.95,0.0198,21333.58,1389866700.0
17,8841730.WI,市场情绪指数,20140127,1142.02,1142.02,1142.02,1142.02,0.0009,23211.63,1468291000.0
18,8841730.WI,市场情绪指数,20140128,1142.32,1142.32,1142.32,1142.32,0.0003,19273.55,1729107800.0
19,8841730.WI,市场情绪指数,20140129,1176.08,1176.08,1176.08,1176.08,0.0296,15901.7,1347430900.0
20,8841730.WI,市场情绪指数,20140130,1177.38,1177.38,1177.38,1177.38,0.0011,16232.73,1188200400.0
21,8841730.WI,市场情绪指数,20140207,1213.35,1213.35,1213.35,1213.35,0.0306,15044.44,1180353200.0
22,8841730.WI,市场情绪指数,20140210,1250.79,1250.79,1250.79,1250.79,0.0309,23165.47,1726256800.0
23,8841730.WI,市场情绪指数,20140211,1268.29,1268.29,1268.29,1268.29,0.014,29328.21,1850754300.0
24,8841730.WI,市场情绪指数,20140212,1279.95,1279.95,1279.95,1279.95,0.0092,24750.02,1750767300.0
25,8841730.WI,市场情绪指数,20140213,1257.05,1257.05,1257.05,1257.05,-0.0179,29112.86,2140907400.0
26,8841730.WI,市场情绪指数,20140214,1284.99,1284.99,1284.99,1284.99,0.0222,23443.22,1683392100.0
27,8841730.WI,市场情绪指数,20140217,1326.64,1326.64,1326.64,1326.64,0.0324,24491.05,1785743800.0
28,8841730.WI,市场情绪指数,20140218,1342.89,1342.89,1342.89,1342.89,0.0122,26761.29,1901814000.0
29,8841730.WI,市场情绪指数,20140219,1340.51,1340.51,1340.51,1340.51,-0.0018,22330.45,1653498800.0
30,8841730.WI,市场情绪指数,20140220,1315.76,1315.76,1315.76,1315.76,-0.0185,16965.18,1365588200.0
31,8841730.WI,市场情绪指数,20140221,1318.75,1318.75,1318.75,1318.75,0.0023,18034.54,1444009200.0
32,8841730.WI,市场情绪指数,20140224,1343.21,1343.21,1343.21,1343.21,0.0185,17607.91,1291378900.0
33,8841730.WI,市场情绪指数,20140225,1296.93,1296.93,1296.93,1296.93,-0.0345,23397.04,1653573500.0
34,8841730.WI,市场情绪指数,20140226,1311.09,1311.09,1311.09,1311.09,0.0109,23563.25,1650159300.0
35,8841730.WI,市场情绪指数,20140227,1285.05,1285.05,1285.05,1285.05,-0.0199,32340.63,2241926200.0
36,8841730.WI,市场情绪指数,20140228,1295.99,1295.99,1295.99,1295.99,0.0085,26630.65,1731268200.0
37,8841730.WI,市场情绪指数,20140303,1332.15,1332.15,1332.15,1332.15,0.0279,30811.01,1893454100.0
38,8841730.WI,市场情绪指数,20140304,1328.72,1328.72,1328.72,1328.72,-0.0026,34695.12,2115769900.0
39,8841730.WI,市场情绪指数,20140305,1333.58,1333.58,1333.58,1333.58,0.0037,25567.19,1709619000.0
40,8841730.WI,市场情绪指数,20140306,1347.96,1347.96,1347.96,1347.96,0.0108,22993.56,1545346000.0
41,8841730.WI,市场情绪指数,20140307,1334.94,1334.94,1334.94,1334.94,-0.0097,20112.5,1407099600.0
42,8841730.WI,市场情绪指数,20140310,1296.19,1296.19,1296.19,1296.19,-0.029,18036.38,1242695200.0
43,8841730.WI,市场情绪指数,20140311,1280.34,1280.34,1280.34,1280.34,-0.0122,16796.97,1164347200.0
44,8841730.WI,市场情绪指数,20140312,1267.56,1267.56,1267.56,1267.56,-0.01,14768.34,1129197700.0
45,8841730.WI,市场情绪指数,20140313,1284.35,1284.35,1284.35,1284.35,0.0132,13268.92,1037856500.0
46,8841730.WI,市场情绪指数,20140314,1291.33,1291.33,1291.33,1291.33,0.0054,13664.01,1093070200.0
47,8841730.WI,市场情绪指数,20140317,1326.34,1326.34,1326.34,1326.34,0.0271,13691.74,1063674400.0
48,8841730.WI,市场情绪指数,20140318,1354.27,1354.27,1354.27,1354.27,0.0211,15946.49,1158343100.0
49,8841730.WI,市场情绪指数,20140319,1363.82,1363.82,1363.82,1363.82,0.0071,15832.02,1234357800.0
50,8841730.WI,市场情绪指数,20140320,1336.94,1336.94,1336.94,1336.94,-0.0197,17395.4,1469765100.0
51,8841730.WI,市场情绪指数,20140321,1345.82,1345.82,1345.82,1345.82,0.0066,14220.22,1252740900.0
52,8841730.WI,市场情绪指数,20140324,1356.43,1356.43,1356.43,1356.43,0.0079,17940.88,1608343100.0
53,8841730.WI,市场情绪指数,20140325,1344.57,1344.57,1344.57,1344.57,-0.0087,16747.12,2000380100.0
54,8841730.WI,市场情绪指数,20140326,1359.29,1359.29,1359.29,1359.29,0.0109,13970.0,1438407900.0
55,8841730.WI,市场情绪指数,20140327,1332.82,1332.82,1332.82,1332.82,-0.0195,16467.19,1588228700.0
56,8841730.WI,市场情绪指数,20140328,1293.09,1293.09,1293.09,1293.09,-0.0298,14051.79,1476330600.0
57,8841730.WI,市场情绪指数,20140331,1271.65,1271.65,1271.65,1271.65,-0.0166,10372.78,998465800.0
58,8841730.WI,市场情绪指数,20140401,1293.0,1293.0,1293.0,1293.0,0.0168,8635.12,718919000.0
59,8841730.WI,市场情绪指数,20140402,1285.21,1285.21,1285.21,1285.21,-0.006,11041.45,940747400.0
60,8841730.WI,市场情绪指数,20140403,1292.06,1292.06,1292.06,1292.06,0.0053,10434.83,854862100.0
61,8841730.WI,市场情绪指数,20140404,1301.88,1301.88,1301.88,1301.88,0.0076,9576.12,779390800.0
62,8841730.WI,市场情绪指数,20140408,1315.81,1315.81,1315.81,1315.81,0.0107,9255.21,688665700.0
63,8841730.WI,市场情绪指数,20140409,1343.12,1343.12,1343.12,1343.12,0.0208,10673.38,730272500.0
64,8841730.WI,市场情绪指数,20140410,1351.51,1351.51,1351.51,1351.51,0.0062,13637.47,957406800.0
65,8841730.WI,市场情绪指数,20140411,1359.78,1359.78,1359.78,1359.78,0.0061,11606.07,907118600.0
66,8841730.WI,市场情绪指数,20140414,1372.81,1372.81,1372.81,1372.81,0.0096,9955.27,756116300.0
67,8841730.WI,市场情绪指数,20140415,1360.67,1360.67,1360.67,1360.67,-0.0088,12327.93,937781900.0
68,8841730.WI,市场情绪指数,20140416,1358.79,1358.79,1358.79,1358.79,-0.0014,10333.2,834409300.0
69,8841730.WI,市场情绪指数,20140417,1350.04,1350.04,1350.04,1350.04,-0.0064,6435.57,524659300.0
70,8841730.WI,市场情绪指数,20140418,1360.82,1360.82,1360.82,1360.82,0.008,5321.84,374485800.0
71,8841730.WI,市场情绪指数,20140421,1352.17,1352.17,1352.17,1352.17,-0.0064,5955.72,391796200.0
72,8841730.WI,市场情绪指数,20140422,1337.91,1337.91,1337.91,1337.91,-0.0105,5462.9,418168000.0
73,8841730.WI,市场情绪指数,20140423,1337.34,1337.34,1337.34,1337.34,-0.0004,5880.4,542659300.0
74,8841730.WI,市场情绪指数,20140424,1332.91,1332.91,1332.91,1332.91,-0.0033,5840.6,514367300.0
75,8841730.WI,市场情绪指数,20140425,1308.12,1308.12,1308.12,1308.12,-0.0186,8399.77,696329700.0
76,8841730.WI,市场情绪指数,20140428,1258.13,1258.13,1258.13,1258.13,-0.0382,6797.44,584297000.0
77,8841730.WI,市场情绪指数,20140429,1270.5,1270.5,1270.5,1270.5,0.0098,8471.78,643142500.0
78,8841730.WI,市场情绪指数,20140430,1277.61,1277.61,1277.61,1277.61,0.0056,8909.86,663502900.0
79,8841730.WI,市场情绪指数,20140505,1305.23,1305.23,1305.23,1305.23,0.0216,9257.28,804536500.0
80,8841730.WI,市场情绪指数,20140506,1328.42,1328.42,1328.42,1328.42,0.0178,12892.22,1111728500.0
81,8841730.WI,市场情绪指数,20140507,1316.04,1316.04,1316.04,1316.04,-0.0093,14396.4,1182535200.0
