,Date,Value
0,20050408,15.605
1,20050409,15.6104
2,20050410,15.6104
3,20050411,15.4991
4,20050412,15.1283
5,20050413,15.5734
6,20050414,15.4431
7,20050415,15.2404
8,20050416,15.6135
9,20050417,15.6135
10,20050418,15.437
11,20050419,15.4075
12,20050420,15.2125
13,20050421,15.119
14,20050422,15.176
15,20050423,15.134
16,20050424,15.134
17,20050425,15.0268
18,20050426,15.1991
19,20050427,15.0277
20,20050428,15.3708
21,20050429,15.1673
22,20050430,15.0534
23,20050501,15.0534
24,20050502,15.0534
25,20050503,15.0534
26,20050504,15.0534
27,20050505,15.0534
28,20050506,15.0534
29,20050507,15.0534
30,20050508,15.0534
31,20050509,14.8723
32,20050510,14.9741
33,20050511,14.7901
34,20050512,14.4558
35,20050513,14.4681
36,20050514,14.4681
37,20050515,14.4681
38,20050516,14.2792
39,20050517,14.2793
40,20050518,14.2861
41,20050519,14.2835
42,20050520,14.2466
43,20050521,14.2466
44,20050522,14.2466
45,20050523,13.8966
46,20050524,13.8738
47,20050525,13.8419
48,20050526,13.6673
49,20050527,13.5729
50,20050528,13.5729
51,20050529,13.5729
52,20050530,13.6742
53,20050531,13.6865
54,20050601,13.3818
55,20050602,13.0686
56,20050603,13.0292
57,20050604,13.0292
58,20050605,13.0292
59,20050606,13.3368
60,20050607,13.2589
61,20050608,14.3771
62,20050609,14.5745
63,20050610,14.2463
64,20050611,14.2463
65,20050612,14.2463
66,20050613,14.2115
67,20050614,14.0829
68,20050615,13.8266
69,20050616,13.9938
70,20050617,13.9793
71,20050618,13.9793
72,20050619,13.9793
73,20050620,14.3782
74,20050621,14.1667
75,20050622,14.1629
76,20050623,14.0799
77,20050624,14.1925
78,20050625,14.1925
79,20050626,14.1925
80,20050627,14.4613
81,20050628,14.2512
82,20050629,14.1638
83,20050630,13.8452
84,20050701,13.3318
85,20050702,13.3328
86,20050703,13.3328
87,20050704,13.2809
88,20050705,13.1585
89,20050706,13.0768
90,20050707,13.1432
91,20050708,12.9259
92,20050709,12.9259
93,20050710,12.9259
94,20050711,12.8536
95,20050712,13.2743
96,20050713,13.1773
97,20050714,13.2284
98,20050715,13.0905
99,20050716,13.0905
100,20050717,13.0905
101,20050718,12.9792
102,20050719,12.9834
103,20050720,13.0842
104,20050721,13.1065
105,20050722,13.4166
106,20050723,13.4202
107,20050724,13.4202
108,20050725,13.3892
109,20050726,13.7444
110,20050727,13.9538
111,20050728,13.9042
112,20050729,13.8051
113,20050730,13.804
114,20050731,13.804
115,20050801,13.8697
116,20050802,14.1112
117,20050803,14.1595
118,20050804,14.1024
119,20050805,14.4079
120,20050806,14.4089
121,20050807,14.4089
122,20050808,14.5068
123,20050809,14.6233
124,20050810,14.7545
125,20050811,14.9721
126,20050812,14.7301
127,20050813,14.7475
128,20050814,14.7475
129,20050815,14.8926
130,20050816,14.5907
131,20050817,14.7075
132,20050818,14.1005
133,20050819,14.1081
134,20050820,14.1311
135,20050821,14.1311
136,20050822,14.1838
137,20050823,14.098
138,20050824,14.2723
139,20050825,14.3292
140,20050826,14.4421
141,20050827,14.4716
142,20050828,14.4716
143,20050829,14.2093
144,20050830,14.1814
145,20050831,14.2493
146,20050901,14.5023
147,20050902,14.5295
148,20050903,14.5295
149,20050904,14.5295
150,20050905,14.5578
151,20050906,14.3274
152,20050907,14.5385
153,20050908,14.5504
154,20050909,14.5039
155,20050910,14.5039
156,20050911,14.5039
157,20050912,14.462
158,20050913,14.6652
159,20050914,14.7777
160,20050915,14.7535
161,20050916,14.6896
162,20050917,14.6896
163,20050918,14.6896
164,20050919,14.7295
165,20050920,14.6009
166,20050921,14.2842
167,20050922,13.993
168,20050923,13.932
169,20050924,13.932
170,20050925,13.932
171,20050926,13.9523
172,20050927,13.6942
173,20050928,13.6863
174,20050929,13.9451
175,20050930,13.9769
176,20051001,13.9769
177,20051002,13.9769
178,20051003,13.9769
179,20051004,13.9769
180,20051005,13.9769
181,20051006,13.9769
182,20051007,13.9769
183,20051008,13.9769
184,20051009,13.9769
185,20051010,13.7954
186,20051011,13.9891
187,20051012,14.0026
188,20051013,13.8659
189,20051014,13.6962
190,20051015,13.7003
191,20051016,13.7003
192,20051017,13.5428
193,20051018,13.619
194,20051019,13.5358
195,20051020,13.5761
196,20051021,13.6287
197,20051022,13.6696
198,20051023,13.6696
199,20051024,13.6113
200,20051025,13.4075
201,20051026,13.0667
202,20051027,13.1718
203,20051028,13.02
204,20051029,13.3836
205,20051030,13.3836
206,20051031,13.5096
207,20051101,13.5027
208,20051102,13.6409
209,20051103,13.5495
210,20051104,13.579
211,20051105,13.5898
212,20051106,13.5898
213,20051107,13.5348
214,20051108,13.6255
215,20051109,13.617
216,20051110,13.4113
217,20051111,13.4293
218,20051112,13.4293
219,20051113,13.4293
220,20051114,13.3646
221,20051115,13.3642
222,20051116,13.4717
223,20051117,13.4677
224,20051118,13.7271
225,20051119,13.728
226,20051120,13.728
227,20051121,13.7112
228,20051122,13.4588
229,20051123,13.5381
230,20051124,13.6265
231,20051125,13.6418
232,20051126,13.6418
233,20051127,13.6418
234,20051128,13.5896
235,20051129,13.4483
236,20051130,13.4528
237,20051201,13.4499
238,20051202,13.4308
239,20051203,13.4308
240,20051204,13.4308
241,20051205,13.3098
242,20051206,13.4458
243,20051207,13.589
244,20051208,13.6057
245,20051209,13.7733
246,20051210,13.7733
247,20051211,13.7733
248,20051212,13.7895
249,20051213,13.8256
250,20051214,13.9169
251,20051215,13.9076
252,20051216,13.9463
253,20051217,13.9463
254,20051218,13.9463
255,20051219,14.007
256,20051220,14.0533
257,20051221,13.9867
258,20051222,14.0438
259,20051223,14.1396
260,20051224,14.1396
261,20051225,14.1396
262,20051226,14.2927
263,20051227,14.2261
264,20051228,14.2588
265,20051229,14.4251
266,20051230,14.2826
267,20051231,14.2826
268,20060101,14.2826
269,20060102,14.2826
270,20060103,14.2826
271,20060104,14.3475
272,20060105,14.5876
